month,ic,factor,horizon
2026-08,-0.12510949639954458,macd_norm,5
2026-09,-0.10775170915147228,macd_norm,5
2025-01,-0.3066602641056423,dist_hh60,5
2025-02,-0.051377969831552135,dist_hh60,5
2025-03,0.039484490583458334,dist_hh60,5
2025-04,-0.17686489340610367,dist_hh60,5
2025-05,0.23938884399279522,dist_hh60,5
2025-06,0.030826376569091762,dist_hh60,5
2025-07,0.0033861945400325976,dist_hh60,5
2025-08,0.07980494101907427,dist_hh60,5
2025-09,-0.062055521890084626,dist_hh60,5
2025-10,-0.036762583821407346,dist_hh60,5
2025-11,0.01222957160347242,dist_hh60,5
2025-12,0.03119792479547186,dist_hh60,5
2026-01,0.009214107972085727,dist_hh60,5
2026-02,0.048663718311871926,dist_hh60,5
2026-03,0.10639166146064127,dist_hh60,5
2026-04,-0.2023960595197435,dist_hh60,5
2026-05,0.0680796619486528,dist_hh60,5
2026-06,0.11775130399813628,dist_hh60,5
2026-07,-0.03385254613676978,dist_hh60,5
2026-08,-0.04370310983451481,dist_hh60,5
2026-09,-0.02556180043092989,dist_hh60,5
2025-01,0.030981992797118846,vol_ratio,5
2025-02,-0.04503730559211901,vol_ratio,5
2025-03,0.029171935357516738,vol_ratio,5
2025-04,-0.07858876339328155,vol_ratio,5
2025-05,-0.06330261992586014,vol_ratio,5
2025-06,-0.006567652788332548,vol_ratio,5
2025-07,-0.04719541041874254,vol_ratio,5
2025-08,0.003180390643788144,vol_ratio,5
2025-09,-0.027441769222510914,vol_ratio,5
2025-10,-0.02777777777777777,vol_ratio,5
2025-11,-0.026913638058115714,vol_ratio,5
2025-12,0.013650546469904466,vol_ratio,5
2026-01,-0.06271103993757636,vol_ratio,5
2026-02,0.02805221944581022,vol_ratio,5
2026-03,-0.03995239934634442,vol_ratio,5
2026-04,-0.03318822290424472,vol_ratio,5
2026-05,-0.0009849064814151545,vol_ratio,5
2026-06,-0.03970071594567148,vol_ratio,5
2026-07,-0.06830650241337852,vol_ratio,5
2026-08,-0.057462396278780456,vol_ratio,5
2026-09,0.05004043312821337,vol_ratio,5
2025-01,-0.14321248499399758,turnover_rel,5
2025-02,-0.0023205356045943436,turnover_rel,5
2025-03,0.05729305141128973,turnover_rel,5
2025-04,-0.14061508790574698,turnover_rel,5
2025-05,-0.018264900093395275,turnover_rel,5
2025-06,-0.11792173397205037,turnover_rel,5
2025-07,-0.13971109706029983,turnover_rel,5
2025-08,0.01942614354693739,turnover_rel,5
2025-09,-0.08364999571941498,turnover_rel,5
2025-10,-0.07348272642390288,turnover_rel,5
2025-11,-0.09759199527885773,turnover_rel,5
