date,mean,count,event
2019-09-26,-0.017820612,2,drop5_12
2019-09-30,-0.029188816,1,drop5_12
2019-11-04,-0.016383264,1,drop5_12
2019-12-13,-0.005701296,1,drop5_12
2020-02-03,-0.02024941,26,drop5_12
2020-02-04,0.017000053,2,drop5_12
2020-02-05,-0.05442962,1,drop5_12
2020-02-28,-0.034344822,1,drop5_12
2020-03-03,-0.013446617,3,drop5_12
2020-03-12,0.001982987,1,drop5_12
2020-03-13,-0.016507754,3,drop5_12
2020-03-17,0.013687829,5,drop5_12
2020-03-18,0.003235684,7,drop5_12
2020-03-19,-0.026348785,1,drop5_12
2020-03-23,0.0025193486,1,drop5_12
2020-03-24,-0.024102734,1,drop5_12
2020-03-26,-0.053166695,1,drop5_12
2020-04-14,0.010181558,1,drop5_12
2020-05-06,0.035431854,1,drop5_12
2020-05-25,0.041200325,1,drop5_12
2020-07-16,-0.035710327,4,drop5_12
2020-07-17,0.021189703,2,drop5_12
2020-07-27,-0.00382746,1,drop5_12
2020-08-12,-0.046099804,1,drop5_12
2020-08-13,0.07253097,2,drop5_12
2020-09-07,-0.075999066,1,drop5_12
2020-09-08,-0.010950984,1,drop5_12
2020-09-09,0.018198106,2,drop5_12
2020-09-10,-0.0046027508,1,drop5_12
2020-09-16,0.036150318,2,drop5_12
2020-09-18,0.03345364,1,drop5_12
2020-10-09,-0.07126964,1,drop5_12
2020-10-22,-0.046946406,1,drop5_12
2020-10-23,0.158185,1,drop5_12
2020-12-09,0.010670083,1,drop5_12
2020-12-29,-0.062430263,1,drop5_12
2021-01-11,-0.02177735,2,drop5_12
2021-01-12,-0.10628082,1,drop5_12
2021-01-14,-0.038279112,1,drop5_12
2021-01-15,0.0113505665,1,drop5_12
2021-01-19,0.05453909,3,drop5_12
2021-01-28,0.16411568,1,drop5_12
2021-01-29,-0.040144887,7,drop5_12
2021-02-03,-0.006608814,2,drop5_12
2021-02-04,-0.0513227,1,drop5_12
2021-02-22,0.021784026,1,drop5_12
2021-02-24,-0.06168425,2,drop5_12
2021-02-25,0.08213306,1,drop5_12
2021-02-26,0.09802206,1,drop5_12
2021-03-02,-0.057049178,2,drop5_12
2021-03-04,-0.041630413,1,drop5_12
2021-03-08,0.015298673,3,drop5_12
2021-03-09,-0.019360047,4,drop5_12
2021-03-24,0.020124426,1,drop5_12
2021-03-25,0.11019054,1,drop5_12
2021-04-06,-0.035455514,1,drop5_12
2021-04-19,-0.051325556,1,drop5_12
2021-04-28,-0.004704928,1,drop5_12
2021-05-06,0.044719353,1,drop5_12
2021-05-10,0.119530566,1,drop5_12
2021-05-13,0.0606569,1,drop5_12
2021-05-24,0.008203832,2,drop5_12
2021-05-27,0.0054795393,1,drop5_12
2021-06-07,0.028513644,1,drop5_12
2021-06-09,0.008017115,1,drop5_12
2021-06-18,-0.036257666,1,drop5_12
2021-07-02,0.021306809,1,drop5_12
2021-07-06,-0.026603593,1,drop5_12
2021-07-19,0.06909022,2,drop5_12
2021-07-26,-0.08187288,2,drop5_12
2021-07-27,0.008596089,4,drop5_12
2021-07-28,0.0986697,3,drop5_12
2021-08-06,0.115983024,1,drop5_12
2021-08-17,-0.024525002,1,drop5_12
2021-08-20,-0.015772514,2,drop5_12
2021-08-23,0.06697364,1,drop5_12
2021-09-01,-0.13830219,1,drop5_12
2021-09-03,-0.077647425,1,drop5_12
2021-09-06,-0.006718673,1,drop5_12
2021-09-16,-0.015868425,1,drop5_12
2021-09-17,-0.039434418,1,drop5_12
2021-09-22,-0.109538995,3,drop5_12
2021-09-23,-0.024080522,1,drop5_12
2021-09-24,-0.031342965,2,drop5_12
2021-09-27,0.005133791,2,drop5_12
2021-09-28,-0.06645347,1,drop5_12
2021-09-29,-0.00392921,7,drop5_12
2021-10-08,0.00084791146,1,drop5_12
2021-10-12,0.046700876,3,drop5_12
2021-10-14,0.03557435,4,drop5_12
2021-10-25,0.06825424,1,drop5_12
2021-10-28,-0.0714726,1,drop5_12
2021-10-29,0.018206509,1,drop5_12
2021-11-02,-0.03755191,4,drop5_12
2021-11-03,-0.031211203,1,drop5_12
2021-11-05,-0.018092662,1,drop5_12
2021-11-08,0.16695929,1,drop5_12
2021-11-15,0.009554379,1,drop5_12
2021-11-16,-0.062493145,1,drop5_12
2021-11-18,-0.056601413,1,drop5_12
2021-12-30,-0.07078637,1,drop5_12
2022-01-04,-0.022786126,1,drop5_12
2022-01-05,-0.028478447,2,drop5_12
2022-01-07,0.017725386,2,drop5_12
2022-01-25,-0.029951487,2,drop5_12
2022-01-27,0.050965782,1,drop5_12
2022-02-07,-0.061544403,2,drop5_12
2022-02-14,0.0071277674,2,drop5_12
2022-03-08,-0.014801427,8,drop5_12
2022-03-09,0.005789264,5,drop5_12
2022-03-10,-0.0059136786,1,drop5_12
2022-03-11,-0.021102505,1,drop5_12
2022-03-14,0.035467986,3,drop5_12
2022-03-15,0.007935539,5,drop5_12
2022-04-01,-0.12564532,1,drop5_12
2022-04-08,-0.113682054,2,drop5_12
2022-04-11,0.059160873,1,drop5_12
2022-04-13,0.015616032,3,drop5_12
2022-04-21,-0.02078782,2,drop5_12
2022-04-22,-0.07963233,2,drop5_12
2022-04-25,0.010871759,14,drop5_12
2022-04-26,-0.0014188545,7,drop5_12
2022-05-27,-0.057569854,1,drop5_12
2022-06-21,0.037390113,1,drop5_12
2022-06-27,0.06609747,1,drop5_12
2022-07-05,-0.00591408,1,drop5_12
2022-07-28,-0.099976525,1,drop5_12
2022-08-03,0.036563378,1,drop5_12
2022-08-05,-0.11503483,1,drop5_12
2022-08-09,-0.04839253,1,drop5_12
2022-08-18,0.025895882,1,drop5_12
2022-08-19,-0.046311438,1,drop5_12
2022-08-24,-0.037156083,1,drop5_12
2022-08-25,-0.013858889,2,drop5_12
2022-08-31,-0.007303404,1,drop5_12
2022-09-15,0.0009814899,4,drop5_12
2022-09-16,0.046952084,1,drop5_12
2022-09-19,0.010338207,1,drop5_12
2022-09-29,0.028857002,1,drop5_12
2022-09-30,-0.03844766,2,drop5_12
2022-10-10,-0.10581052,1,drop5_12
2022-10-18,-0.01738654,1,drop5_12
2022-10-21,0.022490771,2,drop5_12
2022-10-24,-0.075057395,1,drop5_12
2022-10-25,-0.074062176,1,drop5_12
2022-10-27,0.07784723,1,drop5_12
2022-10-31,-0.0113212615,2,drop5_12
2022-12-12,-0.009056486,1,drop5_12
2023-03-16,0.022158405,1,drop5_12
2023-03-17,0.009703327,1,drop5_12
2023-03-30,0.13427775,1,drop5_12
2023-04-25,0.006464527,2,drop5_12
2023-04-27,-0.053415805,1,drop5_12
2023-05-04,-0.03830943,1,drop5_12
2023-06-09,0.020423368,1,drop5_12
2023-06-21,0.030561548,1,drop5_12
2023-08-11,-0.0061438093,1,drop5_12
2023-08-16,-0.016104111,1,drop5_12
2023-10-13,-0.0151221715,1,drop5_12
2023-10-20,0.0056828707,1,drop5_12
2023-10-24,-0.05298823,1,drop5_12
2024-01-08,-0.028683797,3,drop5_12
2024-01-22,-0.028476723,2,drop5_12
2024-01-31,-0.035069093,1,drop5_12
2024-02-01,0.08085888,1,drop5_12
2024-02-02,0.036850434,7,drop5_12
2024-02-05,0.03178814,5,drop5_12
2024-03-27,-0.030423207,1,drop5_12
2024-04-08,-0.12203449,1,drop5_12
2024-04-10,-0.009010721,2,drop5_12
2024-04-30,-0.005456275,1,drop5_12
2024-05-30,-0.03589427,1,drop5_12
2024-06-24,-0.02306845,1,drop5_12
2024-07-04,0.04787164,1,drop5_12
2024-07-05,0.036459863,1,drop5_12
2024-07-08,0.008001797,1,drop5_12
2024-07-09,-0.027787803,1,drop5_12
2024-07-16,-0.0040131584,1,drop5_12
2024-07-23,-0.018855564,1,drop5_12
2024-07-25,-0.029063843,2,drop5_12
2024-07-26,-0.041298263,1,drop5_12
2024-07-29,0.019732162,1,drop5_12
2024-08-28,-0.05075598,1,drop5_12
2024-09-10,0.0020046108,1,drop5_12
2024-09-13,0.0033311248,1,drop5_12
2024-09-19,0.023730248,1,drop5_12
2024-10-15,0.0064692833,21,drop5_12
2024-10-17,0.079345845,1,drop5_12
2024-11-14,-0.0050758542,1,drop5_12
2024-11-18,0.00813783,4,drop5_12
2024-12-19,-0.024692148,1,drop5_12
2025-01-03,0.032098956,2,drop5_12
2025-02-27,0.049567614,1,drop5_12
2025-03-03,-0.039336424,2,drop5_12
2025-03-31,-0.093042105,1,drop5_12
2025-04-07,0.011391798,8,drop5_12
2025-04-08,0.039286505,4,drop5_12
2025-04-09,0.014608685,1,drop5_12
2025-04-10,-0.00691658,1,drop5_12
2025-04-18,-0.032025944,1,drop5_12
2025-04-28,-0.027438408,1,drop5_12
2025-04-30,-0.0043698996,1,drop5_12
2025-05-06,0.011982936,1,drop5_12
2025-05-23,-0.06482069,1,drop5_12
2025-05-28,-0.011326315,1,drop5_12
2025-06-13,0.08090739,1,drop5_12
2025-08-05,-0.0018697418,1,drop5_12
2025-09-03,-0.021617133,2,drop5_12
2025-09-04,0.0037618044,3,drop5_12
2025-09-08,0.028591642,1,drop5_12
2025-10-14,0.0179583,1,drop5_12
2025-10-16,-0.0319245,1,drop5_12
2025-10-17,0.07320581,1,drop5_12
